STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
23831,null,null,null,75
48950,null,null,null,165
48960,null,null,null,165
48972,null,null,null,156
48974,null,null,null,156
50020,null,null,null,132
50030,null,null,null,132
50050,null,null,null,132
56850,null,null,null,111
56855,null,null,null,111
56860,null,null,null,111
56865,null,null,null,111
56870,null,null,null,111
56871,null,null,null,111
57437,null,null,null,165
57438,null,null,null,165
57440,null,null,null,165
71960,null,null,null,223
71960,null,null,null,224
71960,null,null,null,542E
71961,null,null,null,223
71961,null,null,null,250
71961,null,null,null,930
71961,null,null,null,B
71970,null,null,null,222
71970,null,null,null,223
71970,null,null,null,250
71971,null,null,null,222
71971,null,null,null,223
71971,null,null,null,250
23872,null,null,null,75
23890,null,null,null,372E
23895,null,null,null,372E
25797,null,null,null,372E
25798,null,null,null,372E
25798,null,null,null,982EN
25798,null,null,null,986EN
25798,null,null,null,987EN
25798,null,null,null,988EN
25798,null,null,null,989EN
50060,null,null,null,132
50061,null,null,null,132
50062,null,null,null,132
50063,null,null,null,132
50064,null,null,null,132
51403,null,null,null,H
51410,null,null,null,631
51459,null,null,null,H
57445,null,null,null,165
57446,null,null,null,150
57447,null,null,null,165
57448,null,null,null,165
57892,null,null,null,566E
57899,null,null,null,160
72560,null,null,null,250
72580,null,null,null,250
61140,null,null,null,A
61150,null,null,null,A
61170,null,null,null,A
62006,null,null,null,903
62008,null,null,null,903
5765,null,null,null,5
5770,null,null,null,5
5771,null,null,null,5
7498,null,null,null,62
7500,null,null,null,62
7520,null,null,null,62
11870,null,null,null,14
11880,null,null,null,14
11890,null,null,null,14
11890,null,null,null,8
13262,null,null,null,2
13264,null,null,null,60
13266,null,null,null,60
13270,null,null,null,12
41805,null,null,null,107
41805,null,null,null,60
41819,null,null,null,107
41819,null,null,null,60
41830,null,null,null,107
41830,null,null,null,60
41850,null,null,null,107
41850,null,null,null,60
41870,null,null,null,107
41870,null,null,null,60
41880,null,null,null,107
41880,null,null,null,60
41890,null,null,null,107
41900,null,null,null,60
41900,null,null,null,9E
7530,null,null,null,62
9135,null,null,null,48
9138,null,null,null,49
9138,null,null,null,70
9140,null,null,null,49
9140,null,null,null,70
9142,null,null,null,75
9142,null,null,null,79
9144,null,null,null,255
9147,null,null,null,67
15380,null,null,null,21
15380,null,null,null,50
43778,null,null,null,8
43782,null,null,null,8
43784,null,null,null,8
43788,null,null,null,8
43788,null,null,null,988EN
43792,null,null,null,8
63741,null,null,null,204
63742,null,null,null,204
63743,null,null,null,204
63744,null,null,null,204
10510,null,null,null,65
10510,null,null,null,79
10513,null,null,null,65
10515,null,null,null,65
10525,null,null,null,65
10525,null,null,null,79
10550,null,null,null,79
10560,null,null,null,79
10561,null,null,null,75
10562,null,null,null,75
11910,null,null,null,14
11920,null,null,null,14
15395,null,null,null,21
15395,null,null,null,50
17081,null,null,null,45
17170,null,null,null,62
17180,null,null,null,62
46022,null,null,null,124
46022,null,null,null,60
63811,null,null,null,269
63812,null,null,null,930
64464,null,null,null,203
64464,null,null,null,269
64465,null,null,null,203
64465,null,null,null,269
64466,null,null,null,203
64466,null,null,null,269
64467,null,null,null,203
64467,null,null,null,269
64468,null,null,null,203
64468,null,null,null,269
64470,null,null,null,208
11940,null,null,null,14
11960,null,null,null,14
11980,null,null,null,14
11990,null,null,null,14
12010,null,null,null,14
12010,null,null,null,8
13291,null,null,null,60
18630,null,null,null,31
18630,null,null,null,32
18640,null,null,null,31
18640,null,null,null,32
18650,null,null,null,31
18650,null,null,null,32
18660,null,null,null,31
18660,null,null,null,32
18670,null,null,null,31
18670,null,null,null,32
18680,null,null,null,31
47330,null,null,null,165
47340,null,null,null,165
47360,null,null,null,165
47369,null,null,null,635
47370,null,null,null,165
47370,null,null,null,635
47390,null,null,null,165
47390,null,null,null,635
47400,null,null,null,165
47400,null,null,null,635
48770,null,null,null,165
48780,null,null,null,165
48790,null,null,null,165
48790,null,null,null,635
48800,null,null,null,165
48800,null,null,null,635
65150,null,null,null,218
65150,null,null,null,554E
65150,null,null,null,556E
65158,null,null,null,203
65159,null,null,null,203
65252,null,null,null,240
23800,null,null,null,75
25754,null,null,null,255
25754,null,null,null,271
25754,null,null,null,542E
25754,null,null,null,556E
25755,null,null,null,255
25755,null,null,null,542E
25755,null,null,null,556E
25755,null,null,null,982EN
25755,null,null,null,986EN
25755,null,null,null,988EN
25765,null,null,null,65
25790,null,null,null,65
25790,null,null,null,75
25791,null,null,null,372E
25791,null,null,null,988EN
25792,null,null,null,372E
25793,null,null,null,372E
20540,null,null,null,24
20550,null,null,null,24
20560,null,null,null,24
20570,null,null,null,24
20580,null,null,null,24
20590,null,null,null,24
20600,null,null,null,24
20610,null,null,null,24
20620,null,null,null,24
20630,null,null,null,24
20640,null,null,null,24
20650,null,null,null,24
48810,null,null,null,165
48810,null,null,null,635
48820,null,null,null,165
48840,null,null,null,165
48860,null,null,null,165
48870,null,null,null,165
48880,null,null,null,165
49820,null,null,null,132
49840,null,null,null,132
49860,null,null,null,128
49860,null,null,null,132
65140,null,null,null,208
67100,null,null,null,226
67110,null,null,null,226
67130,null,null,null,226
27395,null,null,null,27
29213,null,null,null,44
29215,null,null,null,44
22152,null,null,null,H
22158,null,null,null,H
22160,null,null,null,128
22165,null,null,null,22
22165,null,null,null,H
22170,null,null,null,128
22174,null,null,null,22
22174,null,null,null,H
49870,null,null,null,128
49870,null,null,null,132
49880,null,null,null,128
49880,null,null,null,132
49900,null,null,null,128
49900,null,null,null,132
49910,null,null,null,128
49910,null,null,null,132
49920,null,null,null,128
49920,null,null,null,132
49930,null,null,null,132
67140,null,null,null,226
67150,null,null,null,226
68180,null,null,null,223
68180,null,null,null,B
17250,null,null,null,62
17260,null,null,null,62
17280,null,null,null,62
17300,null,null,null,62
17310,null,null,null,44
17310,null,null,null,62
18696,null,null,null,40
18720,null,null,null,40
23600,null,null,null,67
23610,null,null,null,67
52710,null,null,null,156
52720,null,null,null,156
69010,null,null,null,249
69015,null,null,null,226
69015,null,null,null,250
69021,null,null,null,250
69026,null,null,null,226
69026,null,null,null,250
69028,null,null,null,226
69028,null,null,null,250
30453,null,null,null,50
30460,null,null,null,50
30480,null,null,null,50
30489,null,null,null,50
30490,null,null,null,50
30510,null,null,null,107
30510,null,null,null,50
30510,null,null,null,60
30520,null,null,null,50
30530,null,null,null,50
31950,null,null,null,128
31950,null,null,null,50
25751,null,null,null,43
25751,null,null,null,48
25753,null,null,null,255
25753,null,null,null,271
25753,null,null,null,542E
25753,null,null,null,556E
27175,null,null,null,27
27180,null,null,null,27
27190,null,null,null,27
54030,null,null,null,111
54035,null,null,null,111
54045,null,null,null,111
54050,null,null,null,111
54055,null,null,null,111
54060,null,null,null,111
54065,null,null,null,111
54070,null,null,null,111
70250,null,null,null,231
70260,null,null,null,231
70270,null,null,null,231
70280,null,null,null,231
70290,null,null,null,231
70310,null,null,null,231
70310,null,null,null,256
70311,null,null,null,231
70311,null,null,null,239
70312,null,null,null,231
70312,null,null,null,239
70313,null,null,null,231
70313,null,null,null,239
35821,null,null,null,48
35825,null,null,null,43
35825,null,null,null,48
27200,null,null,null,27
27210,null,null,null,27
27230,null,null,null,27
27240,null,null,null,27
27260,null,null,null,27
27270,null,null,null,27
29091,null,null,null,31
29091,null,null,null,32
29100,null,null,null,31
29100,null,null,null,32
54075,null,null,null,111
54080,null,null,null,111
54085,null,null,null,111
55735,null,null,null,106
55771,null,null,null,106
