STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
82836,NE 4th St,1301631.4,226575.8,null,-122.20692640762041,47.61285887491349
82841,NE 70th Pl,1307082.8,246792.9,null,-122.18626939922768,47.668539834706664
82842,I-405 NB Ent Ramp,1307216.0,264906.2,null,-122.18702195223584,47.71819585981326
82850,Juanita Woodinville Way NE,1307634.0,274063.1,null,-122.1859779147556,47.743315553633465
82851,Private Rd,1324728.3,256546.0,null,-122.1153228108302,47.69610199428131
84363,S 184th St,1296300.4,162666.5,null,-122.2238546131006,47.43741792217459
84364,S 187th St,1295559.8,161664.0,null,-122.22677326940071,47.43463330786118
84365,S 192nd St,1295218.2,159922.6,null,-122.22802574082513,47.42984310166363
84366,S 196th St,1295187.9,158404.4,null,-122.22803697951687,47.42568015447455
84367,S 200th St,1295181.4,157217.2,null,-122.22797632367535,47.42242567323018
84368,S 202nd St,1295162.1,155929.8,null,-122.22796003466291,47.41889590464037
84369,S 196th St,1295194.6,158724.4,null,-122.22803334459681,47.42655761902063
84370,S 192nd St,1295219.3,159977.6,null,-122.22802532428071,47.42999391333957
84371,S 184th St,1296301.1,162667.5,null,-122.22385185812868,47.4374206978878
84372,S 187th St,1295640.0,161775.1,null,-122.22645740713862,47.43494181763098
84810,NE 24th St,1317495.7,232838.6,null,-122.14304998274295,47.630783857630526
84818,Private Rd,1318814.2,232830.0,null,-122.13770278921582,47.630821673077236
85748,222nd St SW,1281864.8,294926.2,null,-122.29230398582972,47.79921112522225
85750,NE 4th St,1302946.2,227117.5,null,-122.20163576891727,47.61440791343793
85752,222nd St SW,1281857.3,294289.2,null,-122.29228536309098,47.79746473677636
85754,222nd St SW,1281850.8,293734.2,null,-122.29226899816013,47.795943159744404
85756,228th St SW,1281841.3,292839.2,null,-122.29223861553939,47.79348949608061
85758,228th St SW,1281833.6,292170.3,null,-122.29221835049765,47.79165565942815
85759,230th Pl SW,1281856.4,291362.1,null,-122.29206329163684,47.78944158986604
85760,230th Pl SW,1281827.3,291696.5,null,-122.29220743761985,47.79035665910704
85761,232nd St SW,1281958.1,290831.9,null,-122.29160877580495,47.78799360939428
85762,228th St SW,1281837.4,292465.2,null,-122.29222563614233,47.79246416972607
85763,232nd St SW,1281957.1,290836.9,null,-122.2916132284168,47.78800726231771
85764,228th St SW,1281843.4,293045.2,null,-122.2922459606092,47.79405424549364
85765,236th St SW,1282125.3,289869.2,null,-122.2908545715042,47.78536355644264
85766,222nd St SW,1281850.6,293720.2,null,-122.29226873195195,47.79590477574595
92002,Atlantic Base AcRd,1272518.9,219014.0,null,-122.32433971276221,47.590646508377205
92004,East Base AcRd,1308861.5,231858.8,null,-122.17799247615481,47.62768994637717
92006,South Base AcRd,1281837.8,183670.6,null,-122.28388182353329,47.494258801475915
92007,North Base AcRd,1271945.0,276381.4,null,-122.33118968465597,47.74785810587177
92008,Ryerson Base Maint AcRd,1271651.5,218871.7,null,-122.3278430074858,47.59021034413848
92010,61st Ave S,1288084.0,171594.5,null,-122.25771600388876,47.461477902169236
92011,Vashon Base AcRd,1237184.2,160657.1,null,-122.46249613891692,47.428730789517424
92012,Bellevue Base AcRd,1310159.8,230891.2,null,-122.17265985158093,47.62509974988666
92014,Harrison St,1270422.9,230284.8,null,-122.33372263217072,47.621427783714104
92015,ST Light Rail,1307575.5,231477.4,null,-122.18317979684086,47.62658278538702
92016,ST Light Rail,1272422.7,213369.4,null,-122.32428634375768,47.57516968334693
92018,124th Ave NE,1309329.9,231756.8,null,-122.17608599615996,47.62743277737026
98185,E Thomas St,1271548.0,230041.6,null,-122.32914213937318,47.62082122047365
73530,165th Pl NE,1323772.1,259396.2,null,-122.11939856321797,47.70387093948612
73531,162nd Ave NE,1322780.3,259428.7,null,-122.12342825979493,47.70391451732831
73532,NE 116th St,1320683.1,259383.1,null,-122.1319413988893,47.7036928270149
73533,162nd Ave NE,1322839.7,259420.8,null,-122.12318651136817,47.703895592194506
73534,NE 113th Ct,1320650.0,258604.6,null,-122.1320224561456,47.701557356991344
73535,NE 116th St,1322796.5,259344.3,null,-122.12335672934098,47.70368391334926
73536,162nd Ave NE,1322955.1,259417.7,null,-122.1227176858542,47.70389239614137
73537,158th Ct NE,1321531.7,257062.5,null,-122.12833684517426,47.69737105058075
73538,172nd Ave NE,1326027.6,259347.6,null,-122.1102361674941,47.70384068355034
73539,167th Pl NE,1324030.4,259389.3,null,-122.11834919406691,47.703863854393624
73540,NE 106th St,1325162.1,256038.6,null,-122.113527228983,47.69473095578166
73541,169th Ct NE,1324868.3,259368.8,null,-122.11494527224075,47.70384596585043
73542,174th Ct NE,1326827.6,259315.4,null,-122.10698536766705,47.70378876242158
74070,NE 132nd St,1313887.7,265135.4,null,-122.15993842572652,47.719142608651914
98187,Western Ave,1265427.9,229010.0,null,-122.35387086400743,47.61766485050976
98188,Western Ave,1265343.0,228917.6,null,-122.35420763081935,47.617406987344495
98190,3rd Aly,1267774.1,228028.3,null,-122.34428159205507,47.615100731009285
98191,3rd Ave,1267665.2,227908.5,null,-122.34471349512096,47.614766501816
98192,3rd Ave,1267665.2,227908.5,null,-122.34471349512096,47.614766501816
98195,E Nelson Pl,1271988.0,233601.9,null,-122.32763863691123,47.630603333382595
98196,Eastlake Layover Facility AcRd,1271568.2,231152.5,null,-122.3291477964838,47.623867241507305
98197,Lakeview Blvd E,1271606.8,231457.2,null,-122.32901531157006,47.624704471993745
98198,Lakeview Blvd E,1271622.0,231581.5,null,-122.32896348018676,47.625045984503366
98200,Ward St,1271574.6,232629.5,null,-122.32923826490938,47.627915996315565
98201,Aloha St,1271573.5,232281.3,null,-122.3292152784128,47.62696153173606
98202,1st Aly,1266504.5,228175.8,null,-122.34943987147615,47.6154365730782
99382,Cedar Grove Rd SE,1336081.5,161336.8,null,-122.06304856424526,47.435629642811875
99384,Unnamed,1337890.0,158992.5,null,-122.05559182751284,47.429282571371886
74071,113th Ave NE,1306174.3,262368.2,null,-122.19107127339701,47.71118875908204
74072,111th Ln NE,1305555.8,262378.7,null,-122.19358393553655,47.7111875986194
74073,109th Ct NE,1304593.0,262397.9,null,-122.19749552503022,47.71119350759595
74074,Willows Rd NE,1314309.2,262387.6,null,-122.15803416859929,47.71163059493256
74075,103rd Ave NE,1302934.7,262430.4,null,-122.20423269906009,47.711201809299496
74076,Willows Rd NE,1315117.5,262284.6,null,-122.15474418689193,47.711386359310005
74077,103rd Ave NE,1302978.7,262429.0,null,-122.20405390137098,47.71120012038924
74078,107th Pl NE,1304773.4,262393.3,null,-122.19676253763278,47.71118966276402
74079,111th Ln NE,1305741.0,262375.4,null,-122.19283154759549,47.71118752446457
74080,NE 90th St,1322582.6,251750.2,null,-122.12370820318813,47.68285792102586
74069,NE 130th St,1326046.8,263903.5,null,-122.11046525406115,47.71632974428087
74610,10th Ave,1302751.6,252214.3,null,-122.20423713141469,47.68319006406508
74620,3rd St,1302735.9,252598.8,null,-122.20432866661697,47.68424323031913
74630,13th Ave,1302711.8,253129.2,null,-122.20446485640694,47.68569590504722
99385,201st Pl SE,1333649.0,164485.3,null,-122.07308070867771,47.44415311553966
99386,Unnamed,1338875.0,157232.9,null,-122.05150040601126,47.42450207239527
99388,SE 207th St,1340670.8,154006.6,null,-122.04404190747506,47.415736005204394
99390,Cedar Grove Rd SE,1335027.7,162471.5,null,-122.06737940011493,47.438693767058425
99400,SE 216th Pl,1342095.8,151092.6,null,-122.03810286264215,47.407809607784074
99410,SE 216th Pl,1342092.3,151252.2,null,-122.03812708493342,47.40824694494867
99411,BlkDiamond-Ravensdl Rd SE,1349346.7,119969.2,null,-122.00690805933877,47.322802789245955
99412,SE 207th St,1340718.0,153921.8,null,-122.04384590532777,47.4155055914697
99413,Summit Dr,1349392.8,119813.9,null,-122.00671266953174,47.32237901507918
74640,15th Ave,1302707.6,253736.6,null,-122.20452584166681,47.68736061220233
74650,3rd St,1302564.4,254573.2,null,-122.20516769594455,47.68964677605713
74660,98th Ave NE,1301499.8,259837.8,null,-122.20987186551801,47.70402516483578
74670,101st Pl NE,1302404.8,259815.4,null,-122.20619529211524,47.7040080826976
74680,104th Ave NE,1303286.7,259795.0,null,-122.20261266827899,47.703995237396086
74690,108th Ave NE,1304676.2,259764.2,null,-122.19696807424333,47.703978447999276
74700,110th Ave NE,1305284.0,259755.7,null,-122.19449935431905,47.703984646338576
74702,113th Pl NE,1306399.7,259740.0,null,-122.18996767289444,47.70399561898543
74705,118th Ave NE,1308044.9,259708.4,null,-122.18328469568401,47.70398831145786
74707,115th Ln NE,1307190.0,259728.3,null,-122.18675763860976,47.7040016953661
75402,Mason Rd,1277413.5,241424.3,null,-122.30624599060593,47.652331089045255
75403,Benton Ln,1277727.4,242202.5,null,-122.30503300627552,47.65448058604536
75404,Okanogan Ln NE,1276818.8,241354.0,null,-122.30865297214017,47.6521071699818
75405,George Washington Ln NE,1276258.4,242446.0,null,-122.31101133786453,47.65507084766465
75406,Pend Oreille Rd,1277806.5,243031.3,null,-122.30477641228956,47.656756460735
75407,3rd Ave NW,1264041.5,247084.6,null,-122.36094573576366,47.66713115137132
75408,N 46th St,1267341.9,245028.0,null,-122.34738950871011,47.66167291070446
75409,N 46th St,1267370.3,245033.4,null,-122.34727471327379,47.66168924349795
